標題	小巧美型的 ZENFONE 4 完整的 開箱&評測(圖多慎入)(BUG回報)
id50704338	~~前言~~千呼萬喚ZENFONE4終於上市了不過可能是上市時間較晚，且訂價和之前最低階的ZENFONE5相距不大所以網路上有的開箱及評測相對少很多所以對於要不要入手這隻，其實掙扎了好一陣子希望這篇文能對還在考慮是否入手的朋友們能有些幫助。以下ZENFONE4簡稱ZF4~~購買動機~~話說之前ZF5上市時前前後後購買了5隻，分別是拿去孝親及送友人，最後一隻留者自用這邊是我之前的開箱文~有興趣或有需要入手ZF5的朋友可以看一下http://www.mobile01.com/topicdetail.php?f=588&t;=3853357&p;=3#49685435不過本身就有NPFI這支主力手機了，所以ZF5只是拿來當備機(本人有兩組門號再使用)最後驅使我把ZF5轉換成ZF4還是在於體積此話怎講(以下存屬個人因素考量)1.因NPFI效能已經夠強，所以備機對我來說的目的就是方便攜帶，效能反而不是首要考量，偏偏ZF5的體積比NPFI還大，所以攜帶對我來說是個困擾2.我有在騎公路車，上管包體積有限，光NPFI都要斜者對角才塞的下了，ZF5塞得更免強(包都快炸開)3.他可以換電池(這樣我騎車出去一整天頂多再帶一顆薄薄的電池就夠了，不必再帶尿袋了)基於這3個理由最後決定把ZF5轉換成ZF4這樣出門攜帶也較便利，而有去騎公路車的時候只要把NPFI的SIM卡拿到ZF4去(可雙卡雙待)，除了電話不會漏接外，重點是上管包輕輕鬆鬆放入，還有多餘的空間可以放別的物品。好啦廢話很多~來到重點啦"心得及優缺點於文章最末討論"~~以下是開箱~~外包裝維持ZF系列的風格，質感相當不錯，擺脫低價手機給人廉價包裝的感覺打開後手機出現在眼前(如此包覆手機，很難讓人覺得他只有3290的價位)盒內有手機主體，1.35A的充電頭，USB充電傳輸線，1600mAh電池一顆(因成本考量因素故附贈耳機)電池1600mAh中國製造(2014.04.25出廠)手機正面來一張(紅黑配色好銷魂)換個角度再來一張機頂只有耳機孔機身右側為電源鍵及音量鍵機身左側部分為miceousb及開蓋施力孔機身底部為單一麥克風按鍵部分為金屬同心圓材質，質感相當不錯(與ZENFONE家族的下巴相呼應)銷魂的紅色美背印有ASUSZENFONE及INTEL的LOGO換個角度再來一張打開背蓋後，機背右下方為雙SIM卡插槽及電池接點機背左上角鏡頭旁為記憶卡插槽(官方表示可以支援64G)最右邊白色為NPFI，中間為ZF4，左邊為MOTO的DEFY這樣可以了解實際大小ZF4和NPFI疊起來，可以明顯感受到比NPFI小(廢話，光螢幕就小一寸)側邊厚度比較圖(下方為NPFI，上方為ZF4，因ZF4背蓋是往中間做圓弧形所以視覺上會沒那麼厚)換個角度比較厚度可以很明顯看到ZF4厚了一截充電時有LED指示燈(NPFI表示.....連我這機皇都沒有....太犯規了)手機寬度方面單手可掌握及操作沒問題(我手指很短所以相信一般人都沒問題)由於是TFT面板所以可視角相對較差(這點讓我當初掙扎很久以下手機亮度設為50%，相機用M模式光圈，ISO，快門固定分別以正面，上下左右各45度角來呈現(我的定位不是主力機，所以可視角對我影響不大)正面右側左側上方下方~~開箱部分到此為止~~以下是軟體部份及幾個我覺得比較值得討論的功能，以及大家最關心的安兔兔相關跑分及硬體資訊首次開機後會出現的SIM卡偵測資訊接者就是ZenUI的相關開機設定部分，和zf5，zf6相同(詳情容我跳過，網路上很多相關資訊)剛拿到手機時候的版本為CHT20140430中華客製版(奇怪我又不是中華買的...去比對官網韌體好像沒有台灣一般版)連上WIFI後接者馬上出現韌體升級資訊更新後重開機會顯示成功更新更新後為CHT20140604(研究了一下好像為20140619為止目前最新的版本)實用的下拉選單，常用的開關都在裡面瞜(不過沒有手電筒，因為本身硬體沒配置LED閃光燈)設定的功能選單(和一般ANDROID4以上的版本大致相同，原ANDROID用戶很容易上手)大家很關心的ROM分區(8G扣除系統外其他全部都可以給你安裝APP，我已安裝玩常用的APP及GAME還有2.94G可用)大家很關心的相機部分，總共12個模式可選，不過要在此抱怨一下，明明官方網站介紹就有超強的低光源模式(貓頭鷹模式)，但我的實機卻沒有，打去問客服也說沒有實機可確認會再給我回覆而帶過，希望下次韌體快把此功能放回來官方低光源模式連結http://www.asus.com/tw/Phones/ASUS_ZenFone_4/PixelMaster/#c-FWXqYB6DU實機卻沒有錄影部分設定大家要注意一下，影片品質預設是FULLHD，但開啟防手震後會自強制降為HD而手機內建色溫調整功能，可以調整至你覺得舒服的色溫及飽和度音樂撥放器部分終於在ZenUI加入了自家的撥放器(NPFI時還是用GOOGLE原生地"PLAY音樂")，介面相當簡潔，且可手動調整等化器，再配合上自己的音效魔術師能有更多不同的音效呈現What'sNEXT這功能相當不錯，他會結合GOOGLE日曆上你所有的排程，而透過簡易的時間軸呈現出你接下來該做甚麼，相當簡潔明瞭，且可顯示在手機解鎖頁面讓你事情排程不漏掉點選首頁上方的天氣圖示即可知道相當詳盡且完整的天氣資訊~相當好用點選時間部分則會出現"世界時鐘，鬧鐘，碼表，倒數計時"等相當貼心的時間功能，而桌面也可配合市街時中新增可愛又好看的時鐘小工具而大家很關心的安兔兔相關資訊及跑分~~心得~~ZF4這支手機使用起來超乎我想像的順暢，可能是拜新的ZenUI所賜，且介面好上手。外觀部分我給予高度的肯定，相當有質感的設計，不會讓你覺得這是隻廉價手機。握感部分相當的不錯，採用圓弧形的背蓋握起來相當的舒服及順手，且可輕鬆單手操作。當然同價位還是有對手如INFOCUSM210，雖然硬體比ZF4稍強，但外觀及軟體方面遠遠不及ZF4不過任何的手機都會有其優缺點~以下就是我個人所體認的的優點及缺點提供你參考也歡迎大家來討論歐~~優點~~1.價錢平易近人(不過如果2字頭會更有吸引力)2.ZenUI介面漂亮簡單好上手3.機構設計相當扎實，為ZenFONE系列之最，外觀個人覺得相當好看有質感4.有LED指示燈，可做提醒功能5.不因價格低而犧牲了雙卡雙待功能6.也採用康寧大猩猩第三代玻璃，不因低價就犧牲7.耗電量還不錯，正常使用下(非超級重度使用者)一天沒問題8.螢幕亮度非常夠，在大太陽底下還是看的見螢幕~~缺點~~1.沒附贈耳機(不過這價位就.....原諒他吧)2.照相機沒低光源模式(貓頭鷹模式)，但官網上卻說有3.無LED補光燈4.螢幕為TFT材質，正面看還不錯但側面就悲劇了......5.背蓋超級難開，第一次拿到我花了5分鐘才知道如何打開，如此一來會降低換電池意願，那可換電池這優勢就不見了6.喇叭外放太小聲，建議韌體可修正7.原廠顯示電池百分比的功能，建議可以和電池圖案結合，才不會這麼突兀8.沒有光源感應器，所以沒有自動調整螢幕亮度功能，某些環境下相當不便9.沒有簡易模式，長輩不方便使用10.沒有手套模式，戴手套不能滑了~~BUG~~1.音量鍵快速啟動相機不是每次都能成功2.照相機沒低光源模式(貓頭鷹模式)，但官網上卻說有(暫時列為BUG)謝謝各位耐心地觀看歐~此篇文章同步發表於ASUSZENTALKhttp://www.asus.com/zentalk/tw/forum.php?mod=viewthread&tid;=40793&pid;=41156&page;=1&extra;=#pid41156
id50704625	不好意思。。。借版詢問一下。。。。zenfone45內建有泰文介面輸入嗎？？？
id50704885	應該是有吧~倒數第二個應該是泰文不過我不認識泰文~所以放上圖片給你確認看看
id50705199	aa8998wrote:應該是有吧~倒數第二個應該是泰文不過我非常感謝你那個是泰文沒錯
id50705693	小弟也敗了一隻紅色當備機！比手邊的iPhone5C厚一點、寬一點，流暢度很高，雖然跟ios比還是會感覺到頓挫！但$3290嘛，值得！另外，第一次開電池蓋，真的需要點時間
id50706894	幫你備份aa8998wrote:~~前言~~千呼萬喚...(恕刪)
id50708725	aa8998wrote:~~前言~~千呼萬喚...(恕刪)我也在考慮買這隻當備用機...XDDD
id50709813	終於有zenfone4的開箱文.....內容蠻詳細的.....感謝樓主的分享....平常只用line..應該會購入此支
id50710721	可惜啊可惜沒有簡易模式，不然就是老媽換智慧機的首選。不知道Asus在想什麼。
id50712967	非常感謝你詳細的開箱和實用的評測，優劣分析也十分實用。
